1	United States	14260000
2	Japan	5068000
3	People's Republic of China	4068000
4	Germany	3353000
5	France	2676000
6	United Kingdom	2184000
7	Italy	2118000
8	Brazil	1574000
9	Spain	1464000
10	Canada	1336000
11	Russia	1255000
12	India	1236000
13	Mexico	1017000
14	Australia	997200
15	South Korea	832500
16	Netherlands	794800
17	Turkey	615300
18	Indonesia	539400
19	Switzerland	494600
20	Belgium	470400
21	Poland	430200
22	Sweden	405400
23	Norway	383000
24	Austria	381900
25	Republic of China (Taiwan)	379000
26	Saudi Arabia	369700
27	Venezuela	337300
28	Greece	330800
29	Iran	330500
30	Argentina	310100
31	Denmark	309300
32	South Africa	287200
33	Thailand	263900
34	Finland	238100
35	United Arab Emirates	230000
36	Colombia	228800
37	Portugal	227900
38	Ireland	227800
39	Czech Republic	194800
40	Israel	194800
41	Malaysia	191500
42	Egypt	188000
43	Singapore	177100
44	Nigeria	173400
45	Pakistan	166500
46	Chile	161800
47	Romania	161500
48	Philippines	161000
49	Algeria	140800
50	Hungary	129400
51	Peru	126800
52	New Zealand	117800
53	Ukraine	116200
54	Kuwait	111300
55	Kazakhstan	109300
56	Bangladesh	94510
57	Vietnam	92440
58	Morocco	90820
59	Slovakia	88210
60	Qatar	83910
61	Angola	68760
62	Iraq	65840
63	Croatia	63190
64	Libya	60350
65	Ecuador	57300
66	Cuba	56030
67	Sudan	54680
68	Oman	53400
69	Syria	52520
70	Luxembourg	51740
71	Slovenia	49220
72	Belarus	48970
73	Bulgaria	47100
74	Dominican Republic	46740
75	Azerbaijan	43110
76	Serbia	42000
77	Sri Lanka	41320
78	Tunisia	40170
79	Guatemala	37300
80	Lithuania	37250
81	Lebanon	33590
82	Uzbekistan	32820
83	Kenya	32720
84	Ethiopia	32320
85	Turkmenistan	31860
86	Uruguay	31530
87	Costa Rica	29320
88	North Korea	27800
89	Burma	27550
90	Latvia	26250
91	Yemen	25130
92	Panama	24710
93	Cyprus	23600
94	Jordan	22930
95	Côte d'Ivoire	22500
96	Tanzania	22320
97	Cameroon	22220
98	El Salvador	21100
99	Trinidad and Tobago	20380
100	Bahrain	20210
101	Estonia	19120
102	Bolivia	17550
103	Bosnia and Herzegovina	17130
104	Uganda	15740
105	Ghana	15510
106	Paraguay	14670
107	Honduras	14270
108	Afghanistan	14040
109	Zambia	13000
110	Senegal	12740
111	Nepal	12610
112	Equatorial Guinea	12220
113	Albania	12190
114	Iceland	12130
115	Jamaica	11900
116	Botswana	11630
117	Democratic Republic of the Congo	11110
118	Gabon	11020
119	Cambodia	10800
120	Georgia	10740
121	Brunei	10550
122	Mozambique	9831
123	Republic of the Congo	9532
124	Namibia	9459
125	Macedonia	9238
126	Mali	8965
127	Mauritius	8761
128	Armenia	8714
129	Madagascar	8551
130	Burkina Faso	8105
131	Malta	7955
132	Papua New Guinea	7907
133	The Bahamas	7335
134	Chad	6854
135	Benin	6672
136	Haiti	6558
137	Nicaragua	6151
138	Laos	5598
139	Moldova	5400
140	Niger	5261
141	Rwanda	5245
142	Tajikistan	4982
143	Liechtenstein	4603
144	Kyrgyzstan	4570
145	Malawi	4570
146	Zimbabwe	4500
147	Guinea	4394
148	Mongolia	4203
149	Montenegro	4114
150	Barbados	3595
151	Fiji	3060
152	Mauritania	3029
153	Swaziland	2983
154	Suriname	2962
155	Togo	2865
156	Somalia	2731
157	Guyana	2024
158	Central African Republic	1986
159	Sierra Leone	1877
160	Eritrea	1873
161	Cape Verde	1768
162	Lesotho	1602
163	Maldives	1357
164	Belize	1336
165	Burundi	1321
166	Bhutan	1269
167	Antigua and Barbuda	1178
168	Djibouti	1049
169	San Marino	1048
170	Saint Lucia	973
171	Liberia	876
172	Guinea-Bissau	826
173	Seychelles	767
174	The Gambia	736
175	Solomon Islands	657
176	Vanuatu	635
177	Grenada	615
178	East Timor	590
179	Saint Vincent and the Grenadines	567
180	Samoa	558
181	Saint Kitts and Nevis	557
182	Comoros	532
183	Dominica	362
184	Tonga	313
185	Federated States of Micronesia	238.1
186	São Tomé and Príncipe	191
187	Palau	164
188	Marshall Islands	161.7
189	Kiribati	130
190	Tuvalu	14.94
